Cut	 برش
Binomial distribution	 توزیع دو جمله ای
portable	 حمل‌پذیر
media	 رسانه
thread	 رشته
Router	 رهیاب
Copy	 رونوشت
hierarchy	 سلسله‌مراتب
Metadata	 فرا داده
independence	 نابستگی
Navigation	 ناوش
editor	 ویراستار
Bitmap	 نگاشت بیت
bracket	 کروشه
compact	(داده) چکیده
Palm	(رایانه) جیبی
Notebook	(رایانه) كتابی
Laptop	(رایانه) كیفی
Display	(صفحه‌ی) نمایش
InkJet	(چاپگر) جوهرافشان
Home	(كلید) آغازه
Control	(كلید) مهار
pause	(كلید) مكث
Up-Arrow	(كلید) بالابر
SHIFT	(كلید) تبدیل
INSERT	(كلید) درج
Tab	(كلید) جهش
ALT	(كلید) دگرساز
SPACE	(كلید) فاصله
Enter	(كلید) ورود
Backspace	(كلید) پس‌بر
escape	(كلید) گریز
NumLock	(كلید) قفل اعداد
CapsLock	(كلید) قفل تبدیل
Function	(كلید)کار
window titlebar	م&#1740;له عنوان پنجره
ready	آماده
statistical	آماری
rendezvous	ملاقات
privileged	ممتاز
slash	ممیز
fixed-point	ممیزِ ثابت
floating-point	ممیزِ شناور
backslash	ممیزِ وارونه
training	آموزش
financial	مالی
Owner	مالک
matrix	ماتریس
mime	مایم
Padding	لایی گذاری
Layer	لایه
machine	ماشین
Turing machine	ماشینِ تیورینگ
typewriter	ماشین‌تحریر
Calculator	ماشین‌حساب
satellite	ماهواره
Lambda	لاندا
remainder	مانده
bin	لاوک
triangle	مثلث
trigonometric	مثلثاتی
Swap	مبادله کردن
converter	مبدل
Number Converter	مبدل عدد
compiler	مترجم
translator	مترجم
cascade	آبشاری
canonical	متعارف
Variable	متغیر
environment variable	متغیر محیطی
edge	لبه
ambiguous	مبهم
Source	متن
Text	متن
context	متن
Open Source	متن باز
plain text	متن ساده
shaped text	متن شکیل
consecutive	متوالی
serial	متوالی
successive	متوالی
Hex	مبنای شانزده
proportional	متناسب
symmetric	متقارن
Location	محل
Model	مدل
Solid model	مدل توپر
data model	مدل داده‌ایی
Local	محلی
locale	محلی
locality	محلی
bar	میله
Scroll Bar	میله لغزش
Tool bar	میله ابزار
Task bar	میله تکلیف
launch bar	میله راه انداز
Status Bar	میله وضعیت
Progress Bar	میله پیشرفت
Menubar	میله گزینگان
sum	مجموع
checksum	مجموعِ مقابله‌ای
fork	محلِ انشعاب
raster	محلِ تصویر
locate	محل‌یابی
Circuit	مدار
Legal	مجاز
computing	محاسبات
calculation	محاسبه
computation	محاسبه
compute	محاسبه کردن
Virtual	مجازی
shield	محافظ
Screen Saver	محافظ صفحه نمایش
Web-Shortcut	میان بر وب
dialog	محاوره
Median	میانه
temporary buffer	میانگیر موقت
mean	میانگین
shortcut	میان‌بر
Buffer	میان‌گیر
integrated	مجتمع
integration	مجتمع‌سازی
Content	محتوا
entry	مدخل
Manager	مدیر
schedule manager	مدیر زمانبندی
management	مدیریت
power management	مدیریت توان
Window Manager	مدیریت پنجره
memory management	مدیریتِ حافظه
environment	محیط
Desktop Environment	محیط رومیزی
Homogeneous environment	محیط همگن
Confidential	محرمانه
Privacy	محرمانگی
Channel	مجرا
alpha channel	مجرای آلفا
Secure channel	مجرای امن
transmission channel	مجرای انتقال
Abstract	مجرد
Adjust	میزان کردن
tune	میزان کردن
bit rate	میزانِ ارسالِ بیت
tuning	میزان‌سازی
Host	میزبان
local host	میزبان محلی
Unknown host	میزبان ناشناخته
pool	مخزن
sensible	محسوس
Hide	مخفی كردن
fading	محو کردن
minix	مینیکس
axis	محور
circular	مدور
shaft	محور
y-axis	محور عمودی
x-axis	محور طول‌ها
Permission	مجوز
GPL	مجوز عمومی
mirror	آینه ای
Linux	لینوکس
IDE	آی‌دی‌ای
Benchmark	محك
Lookup	مراجعه
Array	آرایه
Descending sort	مرتب سازی نزولی
Sort	مرتب کردن
sorter	مرتب‌کننده
square	مربع
stage	مرحله
reference	مرجع
jitter	لرزش
visible	مرئی
review	مرور
browse	مرور
Browser	مرورگر
Center	مرکز
compound	مرکّب
ink	مرکّب
testing	آزمایش
tester	آزماینده
Test	آزمون
Betatest	آزمون ب
trade-off	مصالحه
free	آزاد
viewer	مشاهده‌گر
Threshold	آستانه
common	مشترک
Share	مشترک
Rectangle	مستطیل
straight	مستقیم
damage	آسیب
vulnerable	آسیب‌پذیر
Path	مسیر
route	مسیر
real path	مسیر حقیقی
full pathname	مسیر کامل
routing	مسیریابی
Highlight	مشخص
specific	مشخص
specify	مشخص کردن
specification	مشخصه
Problem	مسئله
Detection	آشکارسازی
architecture	معماری
pending	معلق
Suspend	معلق
Equation	معادله
Start	آغاز
initial	آغازین
Home Page	آغازه
Dismiss	معاف کردن
valid	معتبر
criterion	معیار
criteria	معیارها
ledger	معین
Slider	لغزان
scrolling	لغزاندن
Scroll	لغزیدن
Cancel	لغو
semantic	معنایی
magnetic	مغناطیسی
significant	معنی‌دار
Hangup	معوق
reverse	معکوس
reasonable	معقول
pivot	مفصل
interpreter	مفسر
attacker	مهاجم
dialect	لهجه
time stamp	مهر زمان
generator	مولد
composer	مؤلف
component	مؤلفه
Pipe	لوله
Conduit	لوله
Regression analysis	آنالیز برگشتی
parallel	موازی
resource	منبع
supply	منبع
wave	موج
Modem	مودم
Curve	منحنی
stock	موجودی
oblique	مورب
Mouse	موشی
Obsolete	منسوخ
regular	منظم
Regulate	منظم کردن
Landscape	منظره
negative	منفی
passive	منفعل
Subject	موضوع
punch	منگنه
logic	منطق
Logical	منطقی
Region	منطقه
zone	منطقه
temporary	موقت
position	موقعیت
suppress	موقوف کردن
mega	مگا
megabyte	مگابایت
complement	مکمل
supplement	مکمل
Mouse Cursor	مکان نمای موشی
brace	آکولاد
reliable	مطمئن
absolute	مطلق
emulator	مقلد
Collate	مقابله کردن
compare	مقایسه کردن
resistance	مقاومت
nickname	لقب
Resident	مقیم
Value	مقدار
Modal (value)	مقدار وجهی
initialization	مقداردهیِ اولیه
Scale	مقیاس
scaling	مقیاس بندی
Scalable	مقیاس پذیر
type bindings	مقید سازی نوع
Binding	مقیدسازی
Destination	مقصد
milestone	مقطعِ مهم
Blinking cursor	مكان نمای چشمك‌زن
cursor	مكانْ‌نما
Concatenate	الحاق
alphabet	الفبا
alphanumeric	الفبا-عددی
secure	امن
Security	امنیت
signature	امضاء
Pattern	الگو
algorithm	الگوریتم
feasible	امکان‌پذیر
inductor	القاگر
proof	اثبات
fingerprint	اثر انگشت
Supercomputer	ابررایانه
Ethernet	اترنت
Connection	اتصال
Tool	ابزار
tool menu	ابزار گزینگان
safe	ایمن
Continue	ادامه
continuation	ادامه
Authorization	اجازه
permit	اجازه دادن
probability	احتمال
union	اجتماع
optional	اختیاری
dedicate	اختصاص دادن
dedicated	اختصاصی
dedication	اختصاص‌دهی
Undelete	احیا
Create	ایجاد
execution	اجرا
Run	اجرا
Authentication	احراز هویت
stop	ایست
static	ایستا
station	ایستگاه
workstation	ایستگاه كار
assertion	ادعا
Merge	ادغام
Internet	اینترنت
invoke	احضار کردن
Notice	اخطار
Notification	اخطار
Warning	اخطار
presentation	ارائه
Submit	ارائه دادن
communication	ارتباط
vibration	ارتعاش
Upgrade	ارتقا
Cross-reference	ارجاعِ متقابل
skew	اریب
Send	ارسال
Outbox	ارسالی
evaluation	ارزیابی
Resume	از سر گرفتن
Redo	از نو
Origin	اصل
Password	اسم رمز
modification	اصلاح
correction	اصلاح
fallback	اصلاحِ حالتِ عمل
master	اصلی
nominal	اسمی
instruction pointer	اشاره گر دستور
pointer	اشاره‌گر
Saturation	اشباع
Standard	استاندارد
exploit	استثمار
Exception	استثناء
extraction	استخراج
Extract	استخراج
Intersect	اشتراک
sharing	اشتراک
subscription	اشتراک
timesharing	اشتراکِ زمانی
use	استفاده
networking	استفاده از شبکه
reuse	استفاده‌ی مجدد
cylinder	استوانک
Busy	اشغال
spool	اسپول
mail spool	اسپول نامه
bug	اشکال
Internal bug	اشکال درونی
Debug	اشکال زدایی
software bug	اشکال نرم افزاری
debugger	اشکال‌زدا
debugging	اشکال‌زدایی
SCSI	اسکازی
Ascii	اسکی
Term	اصطلاح
prompt	اعلان
validity	اعتبار
validate	اعتبارسنجی
validation	اعتبارسنجی
distortion	اعوجاج
Drop	افت
Intercept	افتراق
Partition	افراز
partitioning	افراز
Increase	افزودن
joystick	اهرمِ کنترل
Priority	اولویت
stacker	انباره‌ساز
stacking	انباره‌سازی
Cumulative	انباشتی
accumulated	انباشته
assignment	انتساب
Propagation	انتشار
Wait	انتظار
bulk	انبوه
aggregation	انبوهش
Aggregate	انبوهه
integral	انتگرال
Transfer	انتقال
transmission	انتقال
linear transfer	انتقال خطی
peak	اوج
association	انجمن
cardinality	اندازه
size	اندازه
page size	اندازه‌ی صفحه
gage	اندازه‌گیر
measurement	اندازه‌گیری
sizing	اندازه‌گیری
offset	انحراف
Standard deviation	انحرافِ معیار
Interaction	اندرکنش
denied	انكار
XML	اکس‌ام‌ال
Information	اطلاعات
Save	ذخیره کردن
store	ذخیره کردن
stored	ذخیره‌شده
Storage	ذخیره‌گاه
trapezoid	ذوزنقه
Timeout	تمام وقت
full duplex	تمام‌دوسویه
delay	تأخیر
lag	تأخیر
ticket	بلیط
collating	تلفیق
trap	تله
trapping	تله‌گذاری
crystal	بلور
block	بلوک
block buffer	بلوک میان‌گیر
signature block	بلوک امضاء
bad block	بلوک خراب
reserved blocks	بلوکهای ذخیره
top	بالا
pop-up	بالا پراندن
upper	بالایی
Uppercase	بالایی
Superscript	بالانویس
Tolerance	تاب
Panel	تابلو
Bulletin Board	تابلوی اعلانات
constant	ثابت
battery	باتری
functional	تابعی
Byte	بایت
fan	بادبزن
Confirmation	تایید
Confirm	تایید کردن
archive	بایگانی
tar archive	بایگانی بان
Download	بار گیری
load	بار کردن
Opacity	تاری
History	تاریخچه
firewall	بارو
overload	بارِ اضافی
reload	بارگذاری مجدد
upload	بارگذاشتن
loader	بارکننده
Open	باز
blocking	باز داشت
Readout	باز خوانی
Reset	باز نشانی
rearrange	بازآرایی
Restart	بازآغازی
Refreshing	بازآوری
Refresh	بازآوردن
retrieval	بازیابی
Retrieve	بازیابی
recovery	بازیافت
feedback	بازخورد
inspector	بازرس
recognition	بازشناخت
representation	بازنمایی
rewrite	بازنویسی
Relay	بازپخش
rewind	بازپیچی
restore	بازگرداندن
Recursion	بازگشت
Return	بازگشت
recursive	بازگشتی
unpack	بازکردن
Tar	بان (بایگانی نوار)
band	باند
second	ثانیه
secondary	ثانویه
register	ثبات
Logging	ثبت
Log	ثبت كردن
Conversion	تبدیل
transform	تبدیل
wireless	بی سیم
Analysis	تحلیل
Flow analysis	تحلیل روند
analyzer	تحلیل‌کننده
dump	تخلیه
dumping	تخلیه
Meeting	تجمع
commercial	تجاری
preparation	تدارکِ آمایش
Bit	بیت
Check bit	بیت بررسی
Board	تخته (مدار)
Clipboard	تخته یادداشت
wake up	بیدار شدن
trivial	بدیهی
critical	بحرانی
Destroy	تخریب
destruction	تخریب
typing	تحریر
sharp	تیز
portion	بخش
section	بخش
Visualization	تجسم
get	بدست آوردن
allocation	تخصیص
decomposition	تجزیه
parsing	تجزیه
Parse	تجزیه کردن
parser	تجزیه‌گر
maximal	بیشین
maximum	بیشینه
maximize	بیشینه ساختن
equipment	تجهیزات
International	بین المللی
primitive	بدوی
body	بدنه
Main body	بدنه اصلی
Untitled	بدون عنوان
Tick	تیک
unused	بی‌استفاده
Real time	بی‌درنگ
TCP/IP	تی‌سی‌پی/آی‌پی
unsigned	بی‌علامت
Anonymous	بی‌نام
unbiased	بی‌پیش‌قدر
Idle	بی‌کار
unbounded	بی‌کران
Load-on-Demand	بر اساس نیاز بار کردن
sibling	برادر
X Align	تراز افقی
Vertical Alignment	تراز عمودی
y-align	تراز عمودی
alignment	تراز کردن
justification	ترازبندی
transistor	ترانزیستور
Transpose	ترانهادن
Transitive	تراگذری
transaction	تراکنش
Order	ترتیب
ordinal	ترتیبی
Ascending order	ترتیبِ صعودی
compilation	ترجمه
translation	ترجمه
Translate	ترجمه کردن
vector	بردار
removable	برداشتنی
Collision	برخورد
On-Line	برخط
check	بررسی
clip	برش
slice	برش
Trim	برش
truncation	برش
drawing	ترسیم
bare	برهنه
go	برو
Program	برنامه
Startup Program	برنامه راه اندازی
Object code	برنامه‌ی مقصود
programmed	برنامه‌ریزی‌شده
programmer	برنامه‌ساز
programming	برنامه‌سازی
Applet	برنامک
Incremental update	بروز رسانی نموی
Output	برونداد
Off-line	برون‌خط
Setup	برپایی
Label	برچسب
tag	برچسب
leaf	برگ
Recurrence	برگشت
Form	برگه
combination	ترکیب
Frequency	بسامد
Random	تصادفی
connector	بست
test-bed	بسترِ آزمون
Package	بسته
Packet	بسته
RPM package	بسته آرپی‌ام
Close	بستن
x-large	بسیار بزرگ
x-small	بسیار کوچک
commit	تصدیق
speed-up	تسریع
mainframe	بزرگ (رایانه)
Zoom	بزرگ نمایی
facility	تسهیلات
image	تصویر
Blur image	تصویر محو
Pixel	تصویر دانه
visual	تصویری
snapshot	تصویرِ لحظه‌ای
expansion	بسط
generalization	تعمیم
suspension	تعلیق
interactive	تعاملی
Dimension	بعد
successor	بعدی
alteration	تغییر
Modify	تغییر
variation	تغییر
vary	تغییر
Resize	تغییر اندازه
redirect	تغییر جهت دادن
Modifier	تغییر دهنده
Rename	تغییر نام
shifting	تغییرِمکان‌دهی
definition	تعریف
user-defined	تعریف‌شده توسطِ کاربر
undefined	تعریف‌نشده
shutdown	تعطیل
subtract	تفریق
tail	ته
Update	به روز رسانی
optimal	بهینه
optimization	بهینه‌سازی
gain	بهره
updating	به‌روزکردن
mod	به‌پیمانه
Indent	تو رفتگی
indentation	تو رفتگی
Boolean	بولی
succession	توالی
Balance	توازن
correspondence	تناظر
License agreement	توافق نامه مجوز
booster	توان افزا
Software Foundation	بنیاد نرم افزار
chunk	توده(ای)
heap	توده(ای)
Grid	توری
Normal distribution	توزیع نرمال
Poisson distribution	توزیع پو آسون
Distribute	توزیع کردن
Descriptor	توصیفگر
qualifier	توصیف‌کننده
adjustment	تنظیم
preference	تنظیم
comment	توضیح
Bold	توپر
Built-in	توکار
Halt	توقف
pulse	تپش
beat	تپش
single	تک
supplementary	تکمیل
task	تکلیف
singular	تکین
iteration	تکرار
Repeat	تکرار
repeater	تکرارکننده
fragment	تکه
monochrome	تک‌رنگ
matching	تطابق
match	تطبیق
emulation	تقلید
precedence	تقدم
approximation	تقریب
division	تقسیم
Division by zero	تقسیم برصفر
Calendar	تقویم
solution	حل
attack	حمله
sentence	جمله
portability	حمل‌پذیری
temperature	دما
summary	خلاصه
reason	دلیل
add	جمع کردن
subtotal	جمعِ جزئی
collect	جمع‌آوری
front	جلو
Loop	حلقه
ring	حلقه
OR	یا
Place	جا
spot	خال
carrier	حامل
system settings	حالات سیستم
case	حالت
Mode	حالت
use case	حالت استفاده
Answer mode	حالت پاسخ
Unload	خالی کردن
off	خاموش
Domain	دامنه
scope	دامنه
Search Domains	دامنه جستجو
MTU	یاب(یکای ارسال بیشینه)
displacement	جابه‌جایی
interleaved	جای داده
sticky notes	یاداشت چسبناک
mnemonic	یادیار
Data	داده
Raw data	داده‌های خام
wizard	جادوگر
database	دادگان
Replace	جایگزینی
placement	جای‌دهی
Overwrite	جای‌نوشت
